sample_id,loss_rate,loss_rate_sd,mean_dtt_conc_t1,mean_dtt_conc_t2
140201,-0.21463378011510226,0.024884369883058213,101.43589385976026,93.66972824926216
140301,0.09033818315258352,0.03711598701306028,96.31893427527321,99.58767086901088
140401,-0.2804584020698242,0.18934902126980677,114.34768549499464,104.1997656467682
140501,-0.05755651002929579,0.025844093799175242,107.45981081979203,105.3772244318987
150201,-0.13832863096438824,0.038973939402697125,110.13310885409761,105.12791789036952
150501,0.06775890501984397,0.03062254906311141,103.64229487255983,106.09403791919453
150601,-0.21378674112579982,0.01961354012265349,96.32457607468395,88.58905915828211
filter blank_1_1,-0.06523464454923789,0.02584141513837981,NA,NA
filter blank_1_2,-0.7591829253768911,0.019598137554963303,NA,NA
solution blank_2_1,0.001306378540713934,0.02730137673369828,NA,NA
solution blank_2_2,-0.04485092518976378,0.03799878310618394,NA,NA
